singleSetId,weight,reps,distance,duration,elevationGain,setNumber,exerciseSetParseId,exerciseName,workoutId,workoutDate,fake_user_id
6wiXICPH68,0.0,0.0,3061.0,1269.0,23.70000076293945,1,1p0URAWpXV,Running,ZsCb953QgI,2017-10-23,fake_id_280
YOfuh0bw2H,0.0,0.0,3838.10009765625,1511.0,25.5,1,VBNi6tOu3W,Running,n1T0dwNa15,2017-10-31,fake_id_280
7dhWRqsaCm,0.0,0.0,4184.2998046875,600.0,0.0,1,ygE4EASEmA,Cycling,ivd4qa8Syj,2017-11-01,fake_id_280
3pJr2AFpgO,127.0,10.0,,,,4,tYUWOKhCz1,Scissor Kick,WYIrwicBf6,2017-07-28,fake_id_281
P1TJ2sgKYQ,127.0,10.0,,,,4,DdIBK8Yquk,Side Bridge,fkRBieE0Pw,2017-07-21,fake_id_281
Qr1Bu3urBm,10.0,12.0,,,,2,MY4jbE92U4,Dumbbell Upright Row,xGR4Ek9h3C,2017-07-31,fake_id_281
j6m8qQXNk0,10.0,15.0,,,,1,hiTmajHpvO,Dumbbell Floor Press,mEIJkkqhRy,2017-09-21,fake_id_281
rSnCgD5f7L,95.0,8.0,,,,1,hoUPgt9qEM,Hack Squat,j3QWEt4LCa,2017-06-29,fake_id_280
YzKvl37BME,10.0,15.0,,,,5,O3802EL5AW,Dumbbell Upright Row,rzPZNvsJkm,2017-09-24,fake_id_281
GddAfBuTac,10.0,10.0,,,,1,Y95xHHGZqE,Biceps Curl To Shoulder Press,HtssENvEVH,2017-09-19,fake_id_281
UVSSPoPoDh,10.0,7.0,,,,3,b66ZV1o4Jv,Biceps Curl To Shoulder Press,IbkcNHmQnl,2017-08-27,fake_id_281
QhJu3SsGCi,10.0,15.0,,,,1,OUDImzDRPW,Zottman Curl,xd2atejiFW,2017-09-11,fake_id_281
7QxmSFkOXT,75.0,10.0,,,,5,WfKGUAFjxp,Goblet Squat,QE5BGGsGLK,2017-10-08,fake_id_280
3hQd1yQPe5,15.0,8.0,,,,2,QGS4FG2Rv8,Sumo Deadlift,PyXlEm0Ewi,2017-08-26,fake_id_281
lQfaLCBsJc,15.0,8.0,,,,1,G7RTiBSVrs,Stiff-Legged Barbell Good Morning,a5rCMHPBoF,2017-08-05,fake_id_281
ta8GvcKwbs,10.0,5.0,,,,1,d9KuezE7Bu,Side Lateral Raise,ESiNJ8fTtE,2017-09-26,fake_id_281
WxGTa3mp5s,10.0,10.0,,,,5,O8Z9ifUfAN,Dumbbell Upright Row,DAR6Sa2DfR,2017-07-23,fake_id_281
vb6pWtwXBH,0.0,20.0,,,,2,oy7y8aAAxy,Reverse Hyperextension,tE3VX8Il9W,2017-06-12,fake_id_280
4g2sBKFw0a,130.0,10.0,,,,2,dXOFJsAfGo,Leg Pull-In,BbdDQoqcoG,2017-09-09,fake_id_281
VoNZoaJP4s,10.0,15.0,,,,4,k8M3g6f8gL,Dumbbell Upright Row,NhSkglaBEi,2017-09-23,fake_id_281
CFDFL9CjJV,130.0,10.0,,,,1,cDMPW0KmgJ,Side Bridge,TdrE9PTj6C,2017-09-18,fake_id_281
SHovHGkN8q,10.0,10.0,,,,1,sMQkT4JLIF,Zottman Curl,TdrE9PTj6C,2017-09-18,fake_id_281
ZOrAEfRnnY,10.0,10.0,,,,1,DBrhD4XNzE,Dumbbell Upright Row,Gf6bqhBBdv,2017-09-03,fake_id_281
6YSHQZbjuD,10.0,5.0,,,,1,5hGGrX9ml7,Dumbbell Clean,38yJLNJeWw,2017-07-22,fake_id_281
R8AZxqbjvq,30.0,8.0,,,,5,J44WBHG73E,Dumbbell Squat,MUAL95QdGd,2017-05-17,fake_id_282
6Kq5E6gZUp,10.0,10.0,,,,1,CjeGGEbqeD,Palms-Up Dumbbell Wrist Curl,YGo7tHjFjn,2017-09-07,fake_id_281
UMhriMUiHN,15.0,10.0,,,,3,NktO2ClJOX,Stiff-Legged Barbell Good Morning,rzPZNvsJkm,2017-09-24,fake_id_281
yksFDrrfM5,130.0,15.0,,,,2,EPHFzzoCzu,Side Bridge,rzPZNvsJkm,2017-09-24,fake_id_281
xzwqw1qazB,10.0,10.0,,,,3,VYzCXQFqn4,Dumbbell Floor Press,Wln3gqpDTb,2017-08-31,fake_id_281
